**********************************************************************
* File created by WinSpec 1.27 (23.04.08) on 30.01.2011 at 19:10:40
**********************************************************************
* 1: Data read from file P:\JAVA\GLOBALBEDO1\SRC\MAIN\RESOURCES\ORG\ESA\BEAM\GLOBALBEDO\SDR\OPERATORS\SURFACE_REFLECTANCE_SPEC.ASC
* 2: y-axis: 0.0099999998 subtracted
**********************************************************************
**********************************************************************
**********************************************************************
* File created by WinSpec 1.27 (23.04.08) on 14.05.2010 at 21:13:04
**********************************************************************
* This file contains the spectra of
* surface reflectances for
* bare soil and vegetation
* for the aerosol retrieval
**********************************************************************
**********************************************************************
* X-Axis =  Wavlength [um] 
* Y-Axis = Vegetation Reflectance (PROSPECT leaf) 
**********************************************************************
  0.4000  4.27000E-02
  0.4010  4.28000E-02
  0.4020  4.29000E-02
  0.4030  4.30000E-02
  0.4040  4.31000E-02
  0.4050  4.32000E-02
  0.4060  4.32400E-02
  0.4070  4.32800E-02
  0.4080  4.33200E-02
  0.4090  4.33600E-02
  0.4100  4.34000E-02
  0.4110  4.35200E-02
  0.4120  4.36400E-02
  0.4130  4.37600E-02
  0.4140  4.38800E-02
  0.4150  4.40000E-02
  0.4160  4.40600E-02
  0.4170  4.41200E-02
  0.4180  4.41800E-02
  0.4190  4.42400E-02
  0.4200  4.43000E-02
  0.4210  4.44000E-02
  0.4220  4.45000E-02
  0.4230  4.46000E-02
  0.4240  4.47000E-02
  0.4250  4.48000E-02
  0.4260  4.48200E-02
  0.4270  4.48400E-02
  0.4280  4.48600E-02
  0.4290  4.48800E-02
  0.4300  4.49000E-02
  0.4310  4.49200E-02
  0.4320  4.49400E-02
  0.4330  4.49600E-02
  0.4340  4.49800E-02
  0.4350  4.50000E-02
  0.4360  4.50400E-02
  0.4370  4.50800E-02
  0.4380  4.51200E-02
  0.4390  4.51600E-02
  0.4400  4.52000E-02
  0.4410  4.53200E-02
  0.4420  4.54400E-02
  0.4430  4.55600E-02
  0.4440  4.56800E-02
  0.4450  4.58000E-02
  0.4460  4.60200E-02
  0.4470  4.62400E-02
  0.4480  4.64600E-02
  0.4490  4.66800E-02
  0.4500  4.69000E-02
  0.4510  4.71200E-02
  0.4520  4.73400E-02
  0.4530  4.75600E-02
  0.4540  4.77800E-02
  0.4550  4.80000E-02
  0.4560  4.80800E-02
  0.4570  4.81600E-02
  0.4580  4.82400E-02
  0.4590  4.83200E-02
  0.4600  4.84000E-02
  0.4610  4.83800E-02
  0.4620  4.83600E-02
  0.4630  4.83400E-02
  0.4640  4.83200E-02
  0.4650  4.83000E-02
  0.4660  4.83400E-02
  0.4670  4.83800E-02
  0.4680  4.84200E-02
  0.4690  4.84600E-02
  0.4700  4.85000E-02
  0.4710  4.85400E-02
  0.4720  4.85800E-02
  0.4730  4.86200E-02
  0.4740  4.86600E-02
  0.4750  4.87000E-02
  0.4760  4.87400E-02
  0.4770  4.87800E-02
  0.4780  4.88200E-02
  0.4790  4.88600E-02
  0.4800  4.89000E-02
  0.4810  4.89800E-02
  0.4820  4.90600E-02
  0.4830  4.91400E-02
  0.4840  4.92200E-02
  0.4850  4.93000E-02
  0.4860  4.95000E-02
  0.4870  4.97000E-02
  0.4880  4.99000E-02
  0.4890  5.01000E-02
  0.4900  5.03000E-02
  0.4910  5.06400E-02
  0.4920  5.09800E-02
  0.4930  5.13200E-02
  0.4940  5.16600E-02
  0.4950  5.20000E-02
  0.4960  5.26200E-02
  0.4970  5.32400E-02
  0.4980  5.38600E-02
  0.4990  5.44800E-02
  0.5000  5.51000E-02
  0.5010  5.61200E-02
  0.5020  5.71400E-02
  0.5030  5.81600E-02
  0.5040  5.91800E-02
  0.5050  6.02000E-02
  0.5060  6.17200E-02
  0.5070  6.32400E-02
  0.5080  6.47600E-02
  0.5090  6.62800E-02
  0.5100  6.78000E-02
  0.5110  7.00400E-02
  0.5120  7.22800E-02
  0.5130  7.45200E-02
  0.5140  7.67600E-02
  0.5150  7.90000E-02
  0.5160  8.18200E-02
  0.5170  8.46400E-02
  0.5180  8.74600E-02
  0.5190  9.02800E-02
  0.5200  9.31000E-02
  0.5210  9.60200E-02
  0.5220  9.89400E-02
  0.5230  1.01860E-01
  0.5240  1.04780E-01
  0.5250  1.07700E-01
  0.5260  1.10020E-01
  0.5270  1.12340E-01
  0.5280  1.14660E-01
  0.5290  1.16980E-01
  0.5300  1.19300E-01
  0.5310  1.20620E-01
  0.5320  1.21940E-01
  0.5330  1.23260E-01
  0.5340  1.24580E-01
  0.5350  1.25900E-01
  0.5360  1.26500E-01
  0.5370  1.27100E-01
  0.5380  1.27700E-01
  0.5390  1.28300E-01
  0.5400  1.28900E-01
  0.5410  1.29380E-01
  0.5420  1.29860E-01
  0.5430  1.30340E-01
  0.5440  1.30820E-01
  0.5450  1.31300E-01
  0.5460  1.31620E-01
  0.5470  1.31940E-01
  0.5480  1.32260E-01
  0.5490  1.32580E-01
  0.5500  1.32900E-01
  0.5510  1.32680E-01
  0.5520  1.32460E-01
  0.5530  1.32240E-01
  0.5540  1.32020E-01
  0.5550  1.31800E-01
  0.5560  1.31100E-01
  0.5570  1.30400E-01
  0.5580  1.29700E-01
  0.5590  1.29000E-01
  0.5600  1.28300E-01
  0.5610  1.27140E-01
  0.5620  1.25980E-01
  0.5630  1.24820E-01
  0.5640  1.23660E-01
  0.5650  1.22500E-01
  0.5660  1.20620E-01
  0.5670  1.18740E-01
  0.5680  1.16860E-01
  0.5690  1.14980E-01
  0.5700  1.13100E-01
  0.5710  1.11440E-01
  0.5720  1.09780E-01
  0.5730  1.08120E-01
  0.5740  1.06460E-01
  0.5750  1.04800E-01
  0.5760  1.03440E-01
  0.5770  1.02080E-01
  0.5780  1.00720E-01
  0.5790  9.93600E-02
  0.5800  9.80000E-02
  0.5810  9.70800E-02
  0.5820  9.61600E-02
  0.5830  9.52400E-02
  0.5840  9.43200E-02
  0.5850  9.34000E-02
  0.5860  9.27200E-02
  0.5870  9.20400E-02
  0.5880  9.13600E-02
  0.5890  9.06800E-02
  0.5900  9.00000E-02
  0.5910  8.95200E-02
  0.5920  8.90400E-02
  0.5930  8.85600E-02
  0.5940  8.80800E-02
  0.5950  8.76000E-02
  0.5960  8.73200E-02
  0.5970  8.70400E-02
  0.5980  8.67600E-02
  0.5990  8.64800E-02
  0.6000  8.62000E-02
  0.6010  8.57800E-02
  0.6020  8.53600E-02
  0.6030  8.49400E-02
  0.6040  8.45200E-02
  0.6050  8.41000E-02
  0.6060  8.33000E-02
  0.6070  8.25000E-02
  0.6080  8.17000E-02
  0.6090  8.09000E-02
  0.6100  8.01000E-02
  0.6110  7.93200E-02
  0.6120  7.85400E-02
  0.6130  7.77600E-02
  0.6140  7.69800E-02
  0.6150  7.62000E-02
  0.6160  7.55600E-02
  0.6170  7.49200E-02
  0.6180  7.42800E-02
  0.6190  7.36400E-02
  0.6200  7.30000E-02
  0.6210  7.26800E-02
  0.6220  7.23600E-02
  0.6230  7.20400E-02
  0.6240  7.17200E-02
  0.6250  7.14000E-02
  0.6260  7.12600E-02
  0.6270  7.11200E-02
  0.6280  7.09800E-02
  0.6290  7.08400E-02
  0.6300  7.07000E-02
  0.6310  7.04800E-02
  0.6320  7.02600E-02
  0.6330  7.00400E-02
  0.6340  6.98200E-02
  0.6350  6.96000E-02
  0.6360  6.89000E-02
  0.6370  6.82000E-02
  0.6380  6.75000E-02
  0.6390  6.68000E-02
  0.6400  6.61000E-02
  0.6410  6.51600E-02
  0.6420  6.42200E-02
  0.6430  6.32800E-02
  0.6440  6.23400E-02
  0.6450  6.14000E-02
  0.6460  6.06400E-02
  0.6470  5.98800E-02
  0.6480  5.91200E-02
  0.6490  5.83600E-02
  0.6500  5.76000E-02
  0.6510  5.72000E-02
  0.6520  5.68000E-02
  0.6530  5.64000E-02
  0.6540  5.60000E-02
  0.6550  5.56000E-02
  0.6560  5.49800E-02
  0.6570  5.43600E-02
  0.6580  5.37400E-02
  0.6590  5.31200E-02
  0.6600  5.25000E-02
  0.6610  5.16600E-02
  0.6620  5.08200E-02
  0.6630  4.99800E-02
  0.6640  4.91400E-02
  0.6650  4.83000E-02
  0.6660  4.77400E-02
  0.6670  4.71800E-02
  0.6680  4.66200E-02
  0.6690  4.60600E-02
  0.6700  4.55000E-02
  0.6710  4.52600E-02
  0.6720  4.50200E-02
  0.6730  4.47800E-02
  0.6740  4.45400E-02
  0.6750  4.43000E-02
  0.6760  4.43200E-02
  0.6770  4.43400E-02
