
------------------------------------------------
Spectral Mapping: meris to modis
------------------------------------------------

Dr. Said Kharbouche
ImagingGroup.MSSL.UCL
2016-06-08 16:12:21









##############################################################################
>>> polynom_2nd_order, SnowNoSnow, non-vegetated_land, sur_refl_b04_1
##############################################################################
sdr_8:sdr_15 1814.33573685
sdr_8:sdr_14 -49904.316598
sdr_8:sdr_11 3606.75665065
sdr_8:sdr_10 34710.1767097
sdr_5:sdr_6 677.214415269
sdr_5:sdr_7 14078.6594125
sdr_5:sdr_8 -18434.7136412
sdr_5:sdr_9 4630.05428216
sdr_14:sdr_15 1155.45519309
sdr_8:sdr_13 58901.0201131
sdr_13:sdr_15 -1131.37578408
sdr_8:sdr_12 -32662.7262024
sdr_11:sdr_14 -3189.40676635
sdr_11:sdr_15 -187.819038907
sdr_1 -137.101864137
sdr_5:sdr_12 4165.62985777
sdr_5:sdr_13 298.149234279
sdr_5:sdr_10 -5094.47499464
sdr_5:sdr_11 34.9813623337
sdr_5:sdr_14 1488.98700691
sdr_5:sdr_15 -1268.67989662
Intercept 0.3839720884
sdr_13:sdr_14 -377.412278687
sdr_6:sdr_15 841.987408641
sdr_6:sdr_14 -10341.5659276
sdr_6:sdr_13 9992.46782408
sdr_6:sdr_12 -9010.94653233
sdr_6:sdr_11 -350.08906394
sdr_6:sdr_10 6737.86296735
sdr_1:sdr_14 -19411.1238846
sdr_1:sdr_15 1787.32374819
sdr_1:sdr_12 -17382.8865386
sdr_1:sdr_13 20707.9655837
sdr_1:sdr_10 17698.7320442
sdr_1:sdr_11 -1671.53168253
sdr_7:sdr_10 -31361.1677244
sdr_7:sdr_11 -4426.23203772
sdr_7:sdr_12 35206.4355072
sdr_7:sdr_13 -80915.248449
sdr_7:sdr_14 70419.0222239
sdr_7:sdr_15 -2271.78997223
sdr_3:sdr_14 25393.1803454
sdr_3:sdr_15 -7347.15264317
sdr_3:sdr_10 -3855.23053631
sdr_3:sdr_11 1060.86030051
sdr_3:sdr_12 -1896.92148088
sdr_3:sdr_13 -18833.7472026
sdr_2:sdr_13 -34003.0570808
sdr_2:sdr_12 28532.8086306
sdr_2:sdr_11 1569.23496436
sdr_2:sdr_10 -26218.869006
sdr_2:sdr_15 -974.582845777
sdr_2:sdr_14 29841.1567888
sdr_10:sdr_15 1869.18615497
sdr_10:sdr_14 -6050.83299677
sdr_10:sdr_11 -1125.23240807
sdr_10:sdr_13 3905.93400081
sdr_10:sdr_12 1416.67718692
sdr_2:sdr_9 2390.19323797
sdr_2:sdr_8 -34593.5944323
sdr_2:sdr_7 34025.7132062
sdr_2:sdr_6 151.371077355
sdr_2:sdr_5 1684.62785967
sdr_2:sdr_4 2130.96099917
sdr_2:sdr_3 -5533.39232139
sdr_4:sdr_5 -5879.2656883
sdr_4:sdr_7 -37784.8242997
sdr_4:sdr_6 3226.62660312
sdr_4:sdr_9 -36849.2143249
sdr_4:sdr_8 67836.0181116
sdr_12:sdr_15 -1226.9089532
sdr_12:sdr_14 11248.6062893
sdr_12:sdr_13 -10616.720079
sdr_6:sdr_7 -18070.6073369
sdr_11:sdr_12 -127.092073939
sdr_6:sdr_9 1760.14881401
