Thu Aug 25 17:27:53 BST 2016 : 753882 created, 250 running, 753380 backlog, 252 processed, 0 failed
Thu Aug 25 17:28:53 BST 2016 : 753882 created, 250 running, 753156 backlog, 476 processed, 0 failed
Thu Aug 25 17:29:53 BST 2016 : 753882 created, 250 running, 753133 backlog, 499 processed, 0 failed
Thu Aug 25 17:30:53 BST 2016 : 753882 created, 250 running, 752934 backlog, 698 processed, 0 failed
Thu Aug 25 17:31:53 BST 2016 : 753882 created, 250 running, 752914 backlog, 718 processed, 0 failed
Thu Aug 25 17:32:53 BST 2016 : 753882 created, 250 running, 752711 backlog, 921 processed, 0 failed
Thu Aug 25 17:33:53 BST 2016 : 753882 created, 249 running, 752691 backlog, 941 processed, 0 failed
Thu Aug 25 17:34:53 BST 2016 : 753882 created, 250 running, 752481 backlog, 1151 processed, 0 failed
Thu Aug 25 17:35:53 BST 2016 : 753882 created, 250 running, 752463 backlog, 1169 processed, 0 failed
Thu Aug 25 17:36:53 BST 2016 : 753882 created, 250 running, 752267 backlog, 1365 processed, 0 failed
Thu Aug 25 17:37:53 BST 2016 : 753882 created, 250 running, 752253 backlog, 1379 processed, 0 failed
Thu Aug 25 17:38:53 BST 2016 : 753882 created, 250 running, 752085 backlog, 1547 processed, 0 failed
Thu Aug 25 17:39:53 BST 2016 : 753882 created, 250 running, 752076 backlog, 1556 processed, 0 failed
Thu Aug 25 17:40:53 BST 2016 : 753882 created, 250 running, 751859 backlog, 1773 processed, 0 failed
Thu Aug 25 17:41:53 BST 2016 : 753882 created, 250 running, 751847 backlog, 1785 processed, 0 failed
Thu Aug 25 17:42:53 BST 2016 : 753882 created, 250 running, 751621 backlog, 2011 processed, 0 failed
Thu Aug 25 17:43:53 BST 2016 : 753882 created, 250 running, 751609 backlog, 2023 processed, 0 failed
Thu Aug 25 17:44:53 BST 2016 : 753882 created, 250 running, 751594 backlog, 2038 processed, 0 failed
Thu Aug 25 17:45:53 BST 2016 : 753882 created, 250 running, 751418 backlog, 2214 processed, 0 failed
Thu Aug 25 17:46:53 BST 2016 : 753882 created, 250 running, 751346 backlog, 2286 processed, 0 failed
Thu Aug 25 17:47:53 BST 2016 : 753882 created, 250 running, 751183 backlog, 2449 processed, 0 failed
Thu Aug 25 17:48:53 BST 2016 : 753882 created, 250 running, 751114 backlog, 2518 processed, 0 failed
Thu Aug 25 17:49:53 BST 2016 : 753882 created, 250 running, 750953 backlog, 2679 processed, 0 failed
Thu Aug 25 17:50:53 BST 2016 : 753882 created, 250 running, 750886 backlog, 2746 processed, 0 failed
Thu Aug 25 17:51:53 BST 2016 : 753882 created, 250 running, 750734 backlog, 2898 processed, 0 failed
Thu Aug 25 17:52:53 BST 2016 : 753882 created, 250 running, 750663 backlog, 2969 processed, 0 failed
Thu Aug 25 17:53:53 BST 2016 : 753882 created, 250 running, 750500 backlog, 3132 processed, 0 failed
Thu Aug 25 17:54:53 BST 2016 : 753882 created, 250 running, 750439 backlog, 3193 processed, 0 failed
Thu Aug 25 17:55:53 BST 2016 : 753882 created, 250 running, 750323 backlog, 3309 processed, 0 failed
Thu Aug 25 17:56:53 BST 2016 : 753882 created, 250 running, 750276 backlog, 3356 processed, 0 failed
Thu Aug 25 17:57:53 BST 2016 : 753882 created, 250 running, 750140 backlog, 3492 processed, 0 failed
Thu Aug 25 17:58:53 BST 2016 : 753882 created, 250 running, 750073 backlog, 3559 processed, 0 failed
Thu Aug 25 17:59:53 BST 2016 : 753882 created, 248 running, 749904 backlog, 3728 processed, 0 failed
Thu Aug 25 18:00:53 BST 2016 : 753882 created, 250 running, 749834 backlog, 3798 processed, 0 failed
Thu Aug 25 18:01:53 BST 2016 : 753882 created, 246 running, 749678 backlog, 3954 processed, 0 failed
Thu Aug 25 18:02:53 BST 2016 : 753882 created, 250 running, 749605 backlog, 4027 processed, 0 failed
Thu Aug 25 18:03:53 BST 2016 : 753882 created, 249 running, 749457 backlog, 4175 processed, 0 failed
Thu Aug 25 18:04:53 BST 2016 : 753882 created, 250 running, 749380 backlog, 4252 processed, 0 failed
Thu Aug 25 18:05:53 BST 2016 : 753882 created, 249 running, 749238 backlog, 4394 processed, 0 failed
Thu Aug 25 18:06:53 BST 2016 : 753882 created, 250 running, 749154 backlog, 4478 processed, 0 failed
Thu Aug 25 18:07:53 BST 2016 : 753882 created, 250 running, 749012 backlog, 4620 processed, 0 failed
Thu Aug 25 18:08:53 BST 2016 : 753882 created, 250 running, 748924 backlog, 4708 processed, 0 failed
Thu Aug 25 18:09:53 BST 2016 : 753882 created, 249 running, 748782 backlog, 4850 processed, 0 failed
Thu Aug 25 18:10:53 BST 2016 : 753882 created, 250 running, 748691 backlog, 4941 processed, 0 failed
Thu Aug 25 18:11:53 BST 2016 : 753882 created, 245 running, 748550 backlog, 5082 processed, 0 failed
Thu Aug 25 18:12:53 BST 2016 : 753882 created, 250 running, 748458 backlog, 5174 processed, 0 failed
Thu Aug 25 18:13:53 BST 2016 : 753882 created, 249 running, 748329 backlog, 5303 processed, 0 failed
Thu Aug 25 18:14:53 BST 2016 : 753882 created, 250 running, 748224 backlog, 5408 processed, 0 failed
Thu Aug 25 18:15:53 BST 2016 : 753882 created, 249 running, 748098 backlog, 5534 processed, 0 failed
Thu Aug 25 18:16:53 BST 2016 : 753882 created, 250 running, 747992 backlog, 5640 processed, 0 failed
Thu Aug 25 18:17:53 BST 2016 : 753882 created, 250 running, 747873 backlog, 5759 processed, 0 failed
Thu Aug 25 18:18:53 BST 2016 : 753882 created, 250 running, 747763 backlog, 5869 processed, 0 failed
Thu Aug 25 18:19:53 BST 2016 : 753882 created, 250 running, 747643 backlog, 5989 processed, 0 failed
Thu Aug 25 18:20:53 BST 2016 : 753882 created, 250 running, 747528 backlog, 6104 processed, 0 failed
Thu Aug 25 18:21:53 BST 2016 : 753882 created, 249 running, 747407 backlog, 6225 processed, 0 failed
Thu Aug 25 18:22:53 BST 2016 : 753882 created, 250 running, 747292 backlog, 6340 processed, 0 failed
Thu Aug 25 18:23:53 BST 2016 : 753882 created, 250 running, 747174 backlog, 6458 processed, 0 failed
Thu Aug 25 18:24:53 BST 2016 : 753882 created, 250 running, 747055 backlog, 6577 processed, 0 failed
Thu Aug 25 18:25:53 BST 2016 : 753882 created, 250 running, 746937 backlog, 6695 processed, 0 failed
Thu Aug 25 18:26:53 BST 2016 : 753882 created, 250 running, 746814 backlog, 6818 processed, 0 failed
Thu Aug 25 18:27:53 BST 2016 : 753882 created, 250 running, 746703 backlog, 6929 processed, 0 failed
Thu Aug 25 18:28:53 BST 2016 : 753882 created, 250 running, 746589 backlog, 7043 processed, 0 failed
Thu Aug 25 18:29:53 BST 2016 : 753882 created, 250 running, 746479 backlog, 7153 processed, 0 failed
Thu Aug 25 18:30:53 BST 2016 : 753882 created, 250 running, 746380 backlog, 7252 processed, 0 failed
Thu Aug 25 18:31:53 BST 2016 : 753882 created, 250 running, 746286 backlog, 7346 processed, 0 failed
Thu Aug 25 18:32:53 BST 2016 : 753882 created, 250 running, 746201 backlog, 7431 processed, 0 failed
Thu Aug 25 18:33:53 BST 2016 : 753882 created, 250 running, 746098 backlog, 7534 processed, 0 failed
Thu Aug 25 18:34:53 BST 2016 : 753882 created, 250 running, 745971 backlog, 7661 processed, 0 failed
Thu Aug 25 18:35:53 BST 2016 : 753882 created, 250 running, 745868 backlog, 7764 processed, 0 failed
Thu Aug 25 18:36:53 BST 2016 : 753882 created, 250 running, 745775 backlog, 7857 processed, 0 failed
Thu Aug 25 18:37:53 BST 2016 : 753882 created, 250 running, 745683 backlog, 7949 processed, 0 failed
Thu Aug 25 18:38:53 BST 2016 : 753882 created, 250 running, 745588 backlog, 8044 processed, 0 failed
Thu Aug 25 18:39:53 BST 2016 : 753882 created, 250 running, 745487 backlog, 8145 processed, 0 failed
Thu Aug 25 18:40:53 BST 2016 : 753882 created, 250 running, 745368 backlog, 8264 processed, 0 failed
Thu Aug 25 18:41:53 BST 2016 : 753882 created, 247 running, 745267 backlog, 8365 processed, 0 failed
Thu Aug 25 18:42:54 BST 2016 : 753882 created, 250 running, 745140 backlog, 8492 processed, 0 failed
Thu Aug 25 18:43:54 BST 2016 : 753882 created, 250 running, 745044 backlog, 8588 processed, 0 failed
Thu Aug 25 18:44:54 BST 2016 : 753882 created, 250 running, 744911 backlog, 8721 processed, 0 failed
Thu Aug 25 18:45:54 BST 2016 : 753882 created, 250 running, 744823 backlog, 8809 processed, 0 failed
Thu Aug 25 18:46:54 BST 2016 : 753882 created, 250 running, 744734 backlog, 8898 processed, 0 failed
Thu Aug 25 18:47:54 BST 2016 : 753882 created, 250 running, 744674 backlog, 8958 processed, 0 failed
Thu Aug 25 18:48:54 BST 2016 : 753882 created, 250 running, 744584 backlog, 9048 processed, 0 failed
Thu Aug 25 18:49:54 BST 2016 : 753882 created, 250 running, 744490 backlog, 9142 processed, 0 failed
Thu Aug 25 18:50:54 BST 2016 : 753882 created, 250 running, 744346 backlog, 9286 processed, 0 failed
Thu Aug 25 18:51:54 BST 2016 : 753882 created, 250 running, 744252 backlog, 9380 processed, 0 failed
Thu Aug 25 18:52:54 BST 2016 : 753882 created, 250 running, 744109 backlog, 9523 processed, 0 failed
Thu Aug 25 18:53:54 BST 2016 : 753882 created, 250 running, 744012 backlog, 9620 processed, 0 failed
Thu Aug 25 18:54:54 BST 2016 : 753882 created, 250 running, 743889 backlog, 9743 processed, 0 failed
Thu Aug 25 18:55:54 BST 2016 : 753882 created, 250 running, 743822 backlog, 9810 processed, 0 failed
Thu Aug 25 18:56:54 BST 2016 : 753882 created, 250 running, 743712 backlog, 9920 processed, 0 failed
Thu Aug 25 18:57:54 BST 2016 : 753882 created, 250 running, 743636 backlog, 9996 processed, 0 failed
Thu Aug 25 18:58:54 BST 2016 : 753882 created, 250 running, 743533 backlog, 10099 processed, 0 failed
Thu Aug 25 18:59:54 BST 2016 : 753882 created, 249 running, 743445 backlog, 10187 processed, 0 failed
Thu Aug 25 19:00:54 BST 2016 : 753882 created, 250 running, 743303 backlog, 10329 processed, 0 failed
Thu Aug 25 19:01:54 BST 2016 : 753882 created, 250 running, 743207 backlog, 10425 processed, 0 failed
Thu Aug 25 19:02:54 BST 2016 : 753882 created, 250 running, 743064 backlog, 10568 processed, 0 failed
Thu Aug 25 19:03:54 BST 2016 : 753882 created, 250 running, 742971 backlog, 10661 processed, 0 failed
Thu Aug 25 19:04:54 BST 2016 : 753882 created, 250 running, 742833 backlog, 10799 processed, 0 failed
Thu Aug 25 19:05:54 BST 2016 : 753882 created, 250 running, 742825 backlog, 10807 processed, 0 failed
Thu Aug 25 19:06:54 BST 2016 : 753882 created, 250 running, 742811 backlog, 10821 processed, 0 failed
Thu Aug 25 19:07:54 BST 2016 : 753882 created, 250 running, 742722 backlog, 10910 processed, 0 failed
Thu Aug 25 19:08:54 BST 2016 : 753882 created, 250 running, 742581 backlog, 11051 processed, 0 failed
Thu Aug 25 19:09:54 BST 2016 : 753882 created, 250 running, 742525 backlog, 11107 processed, 0 failed
Thu Aug 25 19:10:54 BST 2016 : 753882 created, 249 running, 742404 backlog, 11228 processed, 0 failed
Thu Aug 25 19:11:54 BST 2016 : 753882 created, 250 running, 742330 backlog, 11302 processed, 0 failed
Thu Aug 25 19:12:54 BST 2016 : 753882 created, 250 running, 742194 backlog, 11438 processed, 0 failed
Thu Aug 25 19:13:54 BST 2016 : 753882 created, 250 running, 742095 backlog, 11537 processed, 0 failed
Thu Aug 25 19:14:54 BST 2016 : 753882 created, 250 running, 741956 backlog, 11676 processed, 0 failed
Thu Aug 25 19:15:54 BST 2016 : 753882 created, 250 running, 741860 backlog, 11772 processed, 0 failed
Thu Aug 25 19:16:54 BST 2016 : 753882 created, 250 running, 741719 backlog, 11913 processed, 0 failed
Thu Aug 25 19:17:54 BST 2016 : 753882 created, 250 running, 741626 backlog, 12006 processed, 0 failed
Thu Aug 25 19:18:54 BST 2016 : 753882 created, 250 running, 741527 backlog, 12105 processed, 0 failed
Thu Aug 25 19:19:54 BST 2016 : 753882 created, 250 running, 741458 backlog, 12174 processed, 0 failed
Thu Aug 25 19:20:54 BST 2016 : 753882 created, 250 running, 741417 backlog, 12215 processed, 0 failed
Thu Aug 25 19:21:54 BST 2016 : 753882 created, 249 running, 741378 backlog, 12254 processed, 0 failed
Thu Aug 25 19:22:54 BST 2016 : 753882 created, 250 running, 741285 backlog, 12347 processed, 0 failed
Thu Aug 25 19:23:54 BST 2016 : 753882 created, 250 running, 741215 backlog, 12417 processed, 0 failed
Thu Aug 25 19:24:54 BST 2016 : 753882 created, 250 running, 741175 backlog, 12457 processed, 0 failed
Thu Aug 25 19:25:54 BST 2016 : 753882 created, 250 running, 741141 backlog, 12491 processed, 0 failed
Thu Aug 25 19:26:54 BST 2016 : 753882 created, 250 running, 741041 backlog, 12591 processed, 0 failed
Thu Aug 25 19:27:54 BST 2016 : 753882 created, 250 running, 740996 backlog, 12636 processed, 0 failed
Thu Aug 25 19:28:54 BST 2016 : 753882 created, 250 running, 740962 backlog, 12670 processed, 0 failed
Thu Aug 25 19:29:54 BST 2016 : 753882 created, 250 running, 740893 backlog, 12739 processed, 0 failed
Thu Aug 25 19:30:54 BST 2016 : 753882 created, 250 running, 740764 backlog, 12868 processed, 0 failed
Thu Aug 25 19:31:54 BST 2016 : 753882 created, 250 running, 740667 backlog, 12965 processed, 0 failed
