TILE, ULC_X, ULC_Y, LRC_X, LRC_Y, LL_ULC_X, LL_ULC_Y, LL_URC_X, LL_URC_Y, LL_LLC_X, LL_LLC_Y, LL_LRC_X, LL_LRC_Y
h00v08, -20015109.354, 1111950.520, -18903158.834, 0.000, 177d13'23.56"E, 10d 0'0.00"N, 172d37'21.09"W, 10d 0'0.00"N, 180d 0'0.00"W, 0d 0'0.01"N, 170d 0'0.00"W, 0d 0'0.01"N
h00v09, -20015109.354, 0.000, -18903158.834, -1111950.520, 180d 0'0.00"W, 0d 0'0.01"N, 170d 0'0.00"W, 0d 0'0.01"N, 177d13'23.56"E, 10d 0'0.00"S, 172d37'21.09"W, 10d 0'0.00"S
h00v10, -20015109.354, -1111950.520, -18903158.834, -2223901.039, 177d13'23.56"E, 10d 0'0.00"S, 172d37'21.09"W, 10d 0'0.00"S, 168d26'52.80"E, 20d 0'0.00"S, 179d 5'23.20"E, 20d 0'0.00"S
h01v07, -18903158.834, 2223901.039, -17791208.315, 1111950.520, 179d 5'23.20"E, 20d 0'0.00"N, 170d16'6.40"W, 20d 0'0.00"N, 172d37'21.09"W, 10d 0'0.00"N, 162d28'5.73"W, 10d 0'0.00"N
h01v08, -18903158.834, 1111950.520, -17791208.315, 0.000, 172d37'21.09"W, 10d 0'0.00"N, 162d28'5.73"W, 10d 0'0.00"N, 170d 0'0.00"W, 0d 0'0.01"N, 160d 0'0.00"W, 0d 0'0.01"N
h01v09, -18903158.834, 0.000, -17791208.315, -1111950.520, 170d 0'0.00"W, 0d 0'0.01"N, 160d 0'0.00"W, 0d 0'0.01"N, 172d37'21.09"W, 10d 0'0.00"S, 162d28'5.73"W, 10d 0'0.00"S
h01v10, -18903158.834, -1111950.520, -17791208.315, -2223901.039, 172d37'21.09"W, 10d 0'0.00"S, 162d28'5.73"W, 10d 0'0.00"S, 179d 5'23.20"E, 20d 0'0.00"S, 170d16'6.40"W, 20d 0'0.00"S
h01v11, -18903158.834, -2223901.039, -17791208.315, -3335851.559, 179d 5'23.20"E, 20d 0'0.00"S, 170d16'6.40"W, 20d 0'0.00"S, 163d42'3.27"E, 30d 0'0.00"S, 175d14'52.49"E, 30d 0'0.00"S
h02v06, -17791208.315, 3335851.559, -16679257.795, 2223901.039, 175d14'52.49"E, 30d 0'0.00"N, 173d12'18.29"W, 30d 0'0.00"N, 170d16'6.40"W, 20d 0'0.00"N, 159d37'36.00"W, 20d 0'0.00"N
h02v08, -17791208.315, 1111950.520, -16679257.795, 0.000, 162d28'5.73"W, 10d 0'0.00"N, 152d18'50.37"W, 10d 0'0.00"N, 160d 0'0.00"W, 0d 0'0.01"N, 150d 0'0.00"W, 0d 0'0.01"N
h02v09, -17791208.315, 0.000, -16679257.795, -1111950.520, 160d 0'0.00"W, 0d 0'0.01"N, 150d 0'0.00"W, 0d 0'0.01"N, 162d28'5.73"W, 10d 0'0.00"S, 152d18'50.37"W, 10d 0'0.00"S
